;amber;amethyst;apricot;azure;black;blue;brown;burgundy;cerulean;cobalt;coffee;coral;crimson;emerald;grey;green;indigo;ivory;jade;lavender;lilac;lime;magenta;maroon;olive;orange;ochre;peach;pear;pink;plum;purple;red;rose;ruby;salmon;sapphire;scarlet;silvery;tan;teal;turquoise;violet;white;yellow
fair;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
best;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;4;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;2;0
rings;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;1;1
claws;0;0;0;0;6;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;1;0;0;0;0;0;0;0;0;2;1
never;0;0;0;0;17;4;5;0;0;0;0;0;0;0;6;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;11;2;0;0;0;0;0;0;0;0;0;14;1
rolled;0;0;0;0;3;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1
smelled;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
tyrion;0;1;0;0;19;1;6;0;0;0;0;0;4;1;3;6;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;5;17;9;0;0;0;1;0;0;0;0;0;12;4
weirwood;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;0;0;0;0;0;0;0;0;0;14;0
pits;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0
asked;0;0;0;0;7;1;3;0;0;0;0;0;1;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;1;3
gleaming;0;0;0;0;7;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;1;0;0;0;0;0;0;0;0;0;2;0
vair;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
wyman;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0
life;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;1;0
spit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
eastern;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;2;0;0;0;0;0;0;0;0;0;1;0
onyx;2;0;0;0;3;1;0;0;0;0;0;0;0;2;0;1;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1
direwolf;0;0;0;0;1;0;0;0;0;0;0;0;1;0;18;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;25;1
child;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0
worked;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
chill;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2
skirts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;3;0;0;0;0;0;0;1
played;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cersei;0;0;0;0;4;0;2;0;0;0;0;0;2;0;2;5;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;4;9;0;0;0;0;0;0;0;0;0;5;1
things;0;0;0;0;6;1;1;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0
split;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
boiled;0;0;0;0;7;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0
veils;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;1
rushing;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
had;2;0;0;0;222;42;35;2;0;2;0;0;10;1;96;57;1;3;1;1;1;0;0;0;0;9;0;2;0;17;2;13;150;23;6;0;1;2;4;0;0;0;2;128;23
innocent;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0
east;0;0;0;0;5;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;2;1
hightower;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0
shadow;0;0;0;0;23;1;1;0;0;0;0;0;0;0;5;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;10;0
bushy;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
steps;0;0;0;0;6;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;3;0;0;0;1;0;0;0;0;0;4;0
right;0;0;0;0;7;0;0;0;0;0;0;0;1;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;1;0;0;0;0;9;3
old;0;0;0;0;32;3;13;0;0;0;0;0;0;0;18;16;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;3;14;3;0;0;0;0;1;0;0;0;0;25;2
people;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;4;0
crown;0;0;0;0;6;3;0;0;0;0;0;0;1;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;2;0
crows;0;0;0;0;13;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;2;0
sure;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
bottom;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;1;1
